,Rank,Name,Worth,Rise/Fall,Source of wealth
1,1 , Sir James Dyson and family ,16200000000.0,3600000000.0,Household goods and Technology
2,2 , Sri and Gopi Hinduja and family ,16000000000.0,6000000000.0,Industry and Finance
3,2 , David and Simon Reuben ,16000000000.0,2664000000.0,Property and Internet
4,4 , Sir Leonard Blavatnik ,15781000000.0,1411000000.0,"Investment, Music and Media"
5,5 , Sir Jim Ratcliffe ,12150000000.0,6000000000.0,Chemicals
6,6 , Kirsten and Jorn Rausing ,12100000000.0,156000000.0,Inheritance and Investment
7,7 , Alisher Usmanov ,11680000000.0,341000000.0,Mining and Investment
8,8 ," Guy, George and Galen Jr Weston and family ",10530000000.0,30000000.0,Retailing
9,9 , Charlene de Carvalho-Heineken and Michel de Carvalho ,10300000000.0,1700000000.0,"Inheritance, Brewing and Banking"
10,10 , The Duke of Westminster and the Grosvenor family ,10295000000.0,195000000.0,Property
11,11 , Mikhail Fridman ,10234000000.0,666000000.0,Industry
12,12 , Roman Abramovich ,10156000000.0,1065000000.0,Oil and Industry
13,13 , Marit Rausing and family ,9590000000.0,16000000.0,Packaging
14,14 , Ernesto and Kirsty Bertarelli ,9200000000.0,511000000.0,Pharmaceuticals
15,15 , Anil Agarwal ,8500000000.0,2069999999.9999998,Mining
16,16 ," Denise, John and Peter Coates ",7166000000.0,310000000.0,Gambling
17,17 , Sir David and Sir Frederick Barclay ,7000000000.0,1000000000.0,"Property, Media and Internet retailing"
18,18 , Earl Cadogan and family ,6817000000.0,33000000.0,Property
19,19 , Lakshmi Mittal and family ,6781000000.0,3888000000.0,Steel
20,20 , John Fredriksen and family ,6625000000.0,918000000.0,Shipping and Oil services
21,21 , François-Henri Pinault and Salma Hayek ,6592000000.0,250000000.0,Fashion and Films
22,22 , John Grayken ,5691000000.0,628000000.0,Property and Investment
23,23 , Nicky Oppenheimer and family ,5600000000.0,61000000.0,Diamonds and Mining
24,24 , Michael Platt ,4859000000.0,1159000000.0,Hedge fund
25,25 , Barnaby and Merlin Swire and family ,4800000000.0,280000000.0,"Industry, Transport and Property"
26,26,Anders Povlsen ,4730000000.0,New,Fashion
27,27 , Lord Bamford and family ,4700000000.0,550000000.0,Construction equipment
28,28 , Baroness Howard de Walden and family ,4316000000.0,126000000.0,Property
29,29 , Stephen Rubin and family ,4224999999.9999995,1225000000.0,Sportswear
30,30 , Andy Currie ,4099999999.9999995,2000000000.0,Chemicals
31,30 , John Reece ,4099999999.9999995,2000000000.0,Chemicals
32,30 , Tom Morris and family ,4099999999.9999995,510000000.0,Discount stores
33,33 , Sir Henry Keswick and family ,4000000000.0,2350000000.0,"Property, Retailing and Hotels"
34,34 , Joe Lewis ,3992000000.0,366000000.0,Foreign exchange and Investment
35,35 , Leonie Schroder and family ,3977000000.0,42000000.0,Finance
36,36 , Ian and Richard Livingstone ,3900000000.0,100000000.0,Property
37,37 , Laurence and Francois Graff ,3785000000.0,223000000.0,Diamonds
38,38 , Teddy Sagi ,3672000000.0,601000000.0,Software and Property
